# mapping_set_id: https://w3id.org/lmodel/mellea/mappings/mellea-to-mcp.sssom.tsv
# mapping_set_description: Manually curated alignment of the Mellea LinkML schema (linkml/src/mellea/schema/mellea.yaml) to the Model Context Protocol (MCP) LinkML schema (linkml/src/mellea/mappings/mcp/). Subjects are Mellea schema elements (classes and enum permissible values); objects are concepts from the MCP schema. Mellea's stdlib component categories (instruction, message, tool message, document) map fairly cleanly onto MCP wire types (Prompt, PromptMessage, Tool/ToolUseContent, Resource); other alignments cover sampling, capabilities, and runtime telemetry.
# license: https://creativecommons.org/licenses/by/4.0/
# mapping_date: 2026-05-26
# curie_map:
#  mellea: https://w3id.org/lmodel/mellea/
#  mcp: https://w3id.org/lmodel/mcp/
#  linkml: https://w3id.org/linkml/
# creator_id:
#  - https://github.com/lmodel/mellea
# see_also:
#   - https://modelcontextprotocol.io/
#subject_source: mellea
#subject_source_version: '2026-05-26'
#object_source: mcp
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment
mellea:ComponentSpec	ComponentSpec	skos:closeMatch	mcp:Tool	Tool	semapv:LLMBasedMatching	0.7	Mellea ComponentSpec names a stdlib component type; MCP Tool names an invocable capability exposed by a server. Closely aligned for tool-style components.
mellea:ComponentCategoryEnum.INSTRUCTION	INSTRUCTION	skos:closeMatch	mcp:Prompt	Prompt	semapv:LLMBasedMatching	0.75	Instruction components carry the user-authored prompt to a model; MCP Prompt is the wire-level prompt resource.
mellea:ComponentCategoryEnum.MESSAGE	MESSAGE	skos:closeMatch	mcp:PromptMessage	PromptMessage	semapv:LLMBasedMatching	0.8	Both model one role-tagged message in a conversation.
mellea:ComponentCategoryEnum.MESSAGE	MESSAGE	skos:closeMatch	mcp:SamplingMessage	SamplingMessage	semapv:LLMBasedMatching	0.75	SamplingMessage is the MCP message form used by sampling/createMessage requests; semantically the same as a Mellea Message component.
mellea:ComponentCategoryEnum.TOOL_MESSAGE	TOOL_MESSAGE	skos:closeMatch	mcp:ToolUseContent	ToolUseContent	semapv:LLMBasedMatching	0.75	Tool-message components carry assistant tool-use intents; MCP ToolUseContent is the wire payload for a tool use.
mellea:ComponentCategoryEnum.TOOL_MESSAGE	TOOL_MESSAGE	skos:closeMatch	mcp:ToolResultContent	ToolResultContent	semapv:LLMBasedMatching	0.7	Tool-message components also carry tool-result content; MCP ToolResultContent is the corresponding wire payload.
mellea:ComponentCategoryEnum.DOCUMENT	DOCUMENT	skos:closeMatch	mcp:Resource	Resource	semapv:LLMBasedMatching	0.75	Document components carry retrieval-style context; MCP Resource is the protocol's typed resource concept.
mellea:ComponentCategoryEnum.DOCUMENT	DOCUMENT	skos:relatedMatch	mcp:EmbeddedResource	EmbeddedResource	semapv:LLMBasedMatching	0.6	EmbeddedResource is the in-message embedding of a document/resource.
mellea:SamplingStrategySpec	SamplingStrategySpec	skos:closeMatch	mcp:SamplingCapability	SamplingCapability	semapv:LLMBasedMatching	0.6	Both describe a sampling capability; Mellea models the strategy, MCP models the capability handshake.
mellea:SamplingStrategySpec	SamplingStrategySpec	skos:relatedMatch	mcp:ModelPreferences	ModelPreferences	semapv:LLMBasedMatching	0.5	ModelPreferences are the per-request hints driving sampling selection; conceptually adjacent to Mellea's sampling-strategy selection policy.
mellea:ModelIdentifierSpec	ModelIdentifierSpec	skos:relatedMatch	mcp:ModelHint	ModelHint	semapv:LLMBasedMatching	0.55	ModelIdentifierSpec is the canonical multi-provider model identifier; ModelHint is the MCP request-side hint that resolves to a model.
mellea:BackendSpec	BackendSpec	skos:relatedMatch	mcp:Implementation	Implementation	semapv:LLMBasedMatching	0.45	BackendSpec describes a model-serving implementation; MCP Implementation is the {name, version} of a client or server implementation.
mellea:SessionSpec	SessionSpec	skos:relatedMatch	mcp:Task	Task	semapv:LLMBasedMatching	0.5	Mellea sessions orchestrate an AI execution; MCP Task is the long-running unit of work executed within a session.
mellea:HookTypeEnum	HookTypeEnum	skos:relatedMatch	mcp:TaskStatusEnum	TaskStatusEnum	semapv:LLMBasedMatching	0.35	Both enumerate lifecycle/state transitions; semantics differ (in-process hook stage vs MCP task status).
mellea:PluginSpec	PluginSpec	skos:relatedMatch	mcp:ExtensionAppCapability	ExtensionAppCapability	semapv:LLMBasedMatching	0.35	Plugins are runtime extension points; ExtensionAppCapability is the MCP capability handshake for application extensions.
mellea:ApiModelSpec	ApiModelSpec	skos:relatedMatch	mcp:JSONRPCRequest	JSONRPCRequest	semapv:LLMBasedMatching	0.4	ApiModelSpec describes HTTP API wire models; JSONRPCRequest is the MCP request wire model.
mellea:ApiModelSpec	ApiModelSpec	skos:relatedMatch	mcp:JSONRPCResponse	JSONRPCResponse	semapv:LLMBasedMatching	0.4	Mirror of the request side; ApiModelSpec also models response payloads.
mellea:HookPayloadSpec	HookPayloadSpec	skos:relatedMatch	mcp:MetaObject	MetaObject	semapv:LLMBasedMatching	0.35	Both carry attached metadata for a runtime/protocol event.
mellea:FormatterSpec	FormatterSpec	skos:relatedMatch	mcp:ContentBlock	ContentBlock	semapv:LLMBasedMatching	0.3	Formatters shape the output ContentBlock variants exchanged on the wire (text, image, audio, ...).
mellea:NamedElement	NamedElement	skos:relatedMatch	mcp:HasName	HasName	semapv:LLMBasedMatching	0.6	Both are abstract bases carrying a human-readable name on every concrete subclass.
